Date       ,AAL Adj Close       ,AAL Volume         ,DAL Adj Close       ,DAL Volume
2023-09-19 ,13.190000           ,25325000           ,39.171883           , 8175500
2023-09-20 ,13.060000           ,27822800           ,38.605900           , 7000200
2023-09-21 ,13.060000           ,24911700           ,38.029995           , 7938900
2023-09-22 ,12.900000           ,24670900           ,37.404434           , 7754200
2023-09-25 ,12.910000           ,24618800           ,37.295208           , 7346900
2023-09-26 ,12.700000           ,25467700           ,36.510780           , 8988900
2023-09-27 ,12.610000           ,29983300           ,36.401558           , 7996900
2023-09-28 ,12.920000           ,35234200           ,36.689507           , 8247600
2023-09-29 ,12.810000           ,33956200           ,36.739159           , 7985500
2023-10-02 ,12.750000           ,38342700           ,36.193035           , 5799800
2023-10-03 ,12.290000           ,40692300           ,34.991566           , 9406100
2023-10-04 ,12.730000           ,49738100           ,35.805786           , 9430500
2023-10-05 ,12.850000           ,36272900           ,36.183105           , 8342200
2023-10-06 ,12.760000           ,31822200           ,36.739159           , 9782700
2023-10-09 ,12.240000           ,51462700           ,35.031281           ,14475900
2023-10-10 ,12.260000           ,37144200           ,35.577408           ,12365700
2023-10-11 ,12.480000           ,35569100           ,35.826336           ,14319300
2023-10-12 ,12.060000           ,50281200           ,34.999882           ,29838600
2023-10-13 ,11.720000           ,48056300           ,33.954361           ,14423600
2023-10-16 ,11.940000           ,35242600           ,34.272999           ,10136900
2023-10-17 ,11.940000           ,35207300           ,34.531887           ,10331900
2023-10-18 ,11.360000           ,67141500           ,32.998466           ,14724500
2023-10-19 ,11.450000           ,63900500           ,32.570301           ,13407100
2023-10-20 ,11.080000           ,49956600           ,32.092350           , 8358800
2023-10-23 ,11.290000           ,45680300           ,31.903164           ,12427600
2023-10-24 ,11.210000           ,39302800           ,31.883249           , 8662800
2023-10-25 ,11.040000           ,40461800           ,31.275854           ,11186400
2023-10-26 ,11.150000           ,40009500           ,31.465044           ,10230800
2023-10-27 ,10.920000           ,39890700           ,30.519100           ,10826500
2023-10-30 ,11.180000           ,38208500           ,31.096621           ,10783100
2023-10-31 ,11.150000           ,42086200           ,31.116539           , 9104300
2023-11-01 ,11.140000           ,30449500           ,30.977135           , 9336700
2023-11-02 ,11.400000           ,29763600           ,31.883249           , 9711700
2023-11-03 ,11.980000           ,52897300           ,33.207565           ,12302100
2023-11-06 ,11.660000           ,33159500           ,32.779400           , 8225800
2023-11-07 ,11.750000           ,27819600           ,33.297180           ,10497700
2023-11-08 ,12.010000           ,40867800           ,34.024067           ,14144100
2023-11-09 ,11.750000           ,37774500           ,33.337013           , 8513100
2023-11-10 ,11.800000           ,31056200           ,33.914536           , 7536700
2023-11-13 ,11.780000           ,20147700           ,34.024067           , 7144400
2023-11-14 ,12.250000           ,35529800           ,35.089497           ,10993800
2023-11-15 ,12.420000           ,37557800           ,35.607273           ,10580600
2023-11-16 ,12.190000           ,34506600           ,35.358341           , 7756300
2023-11-17 ,12.290000           ,25699200           ,35.905998           , 8447200
2023-11-20 ,12.400000           ,23878800           ,36.344116           , 7784200
2023-11-21 ,12.130000           ,24497700           ,35.726765           , 7345000
2023-11-22 ,12.310000           ,40937600           ,35.796463           ,12367700
2023-11-24 ,12.310000           ,14803800           ,35.945824           , 4392600
2023-11-27 ,12.180000           ,27427600           ,35.686932           , 7147100
2023-11-28 ,12.170000           ,33964600           ,35.886082           , 7810200
2023-11-29 ,12.230000           ,31763200           ,36.483521           , 9311600
2023-11-30 ,12.430000           ,34595600           ,36.772278           ,11392800
2023-12-01 ,13.020000           ,48841500           ,37.887497           ,11004100
2023-12-04 ,13.350000           ,50756400           ,37.997025           , 9760000
2023-12-05 ,13.130000           ,40142400           ,37.449375           , 7828100
2023-12-06 ,13.480000           ,51354300           ,38.773693           ,12499700
2023-12-07 ,13.910000           ,49511700           ,40.167717           ,12122600
2023-12-08 ,13.760000           ,30175300           ,40.177673           , 8723000
2023-12-11 ,13.720000           ,28383700           ,40.336990           , 7295400
2023-12-12 ,14.040000           ,34298800           ,41.063873           , 8448900
2023-12-13 ,14.090000           ,39046300           ,41.014084           ,12821300
2023-12-14 ,14.590000           ,42803900           ,42.258747           ,14530800
2023-12-15 ,14.490000           ,34725700           ,42.159176           ,12902100
2023-12-18 ,14.240000           ,28471700           ,41.004128           , 8624000
2023-12-19 ,14.300000           ,22574300           ,40.974258           , 7560000
2023-12-20 ,13.980000           ,26557500           ,40.167717           , 9695100
2023-12-21 ,14.350000           ,30372600           ,40.944386           , 7709400
2023-12-22 ,14.310000           ,25169900           ,40.954342           , 6834400
2023-12-26 ,14.110000           ,22157900           ,40.585918           , 4722900
2023-12-27 ,13.990000           ,23428500           ,40.416649           , 4486400
2023-12-28 ,13.980000           ,17093400           ,40.456478           , 4558100
2023-12-29 ,13.740000           ,24242000           ,40.058182           , 8620600
           ,Mean:               ,14.577960          ,Mean:               ,      38.137655
           ,Range:              ,7.879999           ,Range:              ,      17.827645
           ,Standard Deviation: ,1.848785614        ,Standard Deviation: ,       4.425826746
           ,Variance:           ,3.418008245        ,Variance:           ,      19.58794239
           ,IQR:                ,2.912501           ,IQR:                ,       6.66807775
           ,Correlation:        ,0.7549245749       ,Correlation:        ,       6.611115
           ,Residuals:          ,#REF!              ,Residuals:          ,       6.52687375
